2024-08-19/21:58:32		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/21:58:32		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/21:58:32		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/21:58:32		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/21:58:32		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/21:58:32		Entered the load_model method of the File_Operation class
2024-08-19/21:58:32		Model File Insutance_Fraud_Detection_Model loaded. Exited the load_model method of the Model_Finder class
2024-08-19/21:58:32		Entered the predict_results method of  preprocessor training class 
2024-08-19/21:58:32		Entered the add_features method of  preprocessor training class 
2024-08-19/21:58:32		 Sucessfully predicted results 
2024-08-19/22:03:42		Entered the preprocessor training class 
2024-08-19/22:03:42		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:03:42		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:03:42		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:03:42		Replaced ? in data with Nan
2024-08-19/22:03:42		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:03:42		Entered the remove_columns method of the Preprocessor class
2024-08-19/22:03:42		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/22:03:42		Entered the is_null_present method of the Preprocessor class
2024-08-19/22:03:42		Finding missing values is a success.
2024-08-19/22:03:42		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/22:03:42		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/22:03:42		Entered the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:03:42		scaling for numerical values successful. Exited the scale_numerical_columns method of the Preprocessor class
2024-08-19/22:03:42		Entered the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:03:42		encoding for categorical values successful. Exited the encode_categorical_columns method of the Preprocessor class
2024-08-19/22:03:42		Entered the load_model method of the File_Operation class
2024-08-19/22:03:42		Model File Insutance_Fraud_Detection_Model loaded. Exited the load_model method of the Model_Finder class
2024-08-19/22:03:42		Entered the predict_results method of  preprocessor training class 
2024-08-19/22:03:42		Entered the add_features method of  preprocessor training class 
2024-08-19/22:03:42		 Sucessfully predicted results 
2024-08-19/22:07:53		Entered the preprocessor training class 
2024-08-19/22:07:53		Entered the ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:07:53		Sucessfully exited ensure_matching_columns method of  preprocessor training class 
2024-08-19/22:07:53		Entered the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:07:53		Replaced ? in data with Nan
2024-08-19/22:07:53		Unwanted spaces removal Successful.Exited the remove_unwanted_spaces method of the Preprocessor class
2024-08-19/22:07:53		Entered the remove_columns method of the Preprocessor class
2024-08-19/22:07:53		Column removal Successful.Exited the remove_columns method of the Preprocessor class
2024-08-19/22:07:53		Entered the is_null_present method of the Preprocessor class
2024-08-19/22:07:53		Finding missing values is a success.
2024-08-19/22:07:53		Entered the impute_missing_values method of the Preprocessor class
2024-08-19/22:07:53		Imputing missing values successful. Exited the impute_missing_values method of the Preprocessor class
2024-08-19/22:07:53		Entered the scale_numerical_columns method of the Preprocessor class
